country,topic,value,prompt_index,polarity,model_choice
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,0,negative,False
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,0,positive,True
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,1,negative,False
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,1,positive,True
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,2,negative,True
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,2,positive,False
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,3,negative,True
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,3,positive,False
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,4,negative,True
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,4,positive,False
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,5,negative,True
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,5,positive,False
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,6,negative,False
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,6,positive,True
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,7,negative,False
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,7,positive,True
Australia,National Identity,Helpful,0,negative,False
Australia,National Identity,Helpful,0,positive,True
Australia,National Identity,Helpful,1,negative,False
Australia,National Identity,Helpful,1,positive,True
Australia,National Identity,Helpful,2,negative,True
Australia,National Identity,Helpful,2,positive,False
Australia,National Identity,Helpful,3,negative,True
Australia,National Identity,Helpful,3,positive,False
Australia,National Identity,Helpful,4,negative,False
Australia,National Identity,Helpful,4,positive,True
Australia,National Identity,Helpful,5,negative,False
Australia,National Identity,Helpful,5,positive,True
Australia,National Identity,Helpful,6,negative,True
Australia,National Identity,Helpful,6,positive,False
Australia,National Identity,Helpful,7,negative,True
Australia,National Identity,Helpful,7,positive,False
Australia,Work Orientation,True Friendship,0,negative,False
Australia,Work Orientation,True Friendship,0,positive,True
Australia,Work Orientation,True Friendship,1,negative,False
Australia,Work Orientation,True Friendship,1,positive,True
Australia,Work Orientation,True Friendship,2,negative,True
Australia,Work Orientation,True Friendship,2,positive,False
Australia,Work Orientation,True Friendship,3,negative,True
Australia,Work Orientation,True Friendship,3,positive,False
