country,topic,value,prompt_index,polarity,model_choice
Australia,Citizenship,A Spiritual Life,0,negative,False
Australia,Citizenship,A Spiritual Life,0,positive,True
Australia,Citizenship,A Spiritual Life,1,negative,False
Australia,Citizenship,A Spiritual Life,1,positive,True
Australia,Citizenship,A Spiritual Life,2,negative,False
Australia,Citizenship,A Spiritual Life,2,positive,True
Australia,Citizenship,A Spiritual Life,3,negative,False
Australia,Citizenship,A Spiritual Life,3,positive,True
Australia,Citizenship,A Spiritual Life,4,negative,False
Australia,Citizenship,A Spiritual Life,4,positive,True
Australia,Citizenship,A Spiritual Life,5,negative,False
Australia,Citizenship,A Spiritual Life,5,positive,True
Australia,Citizenship,A Spiritual Life,6,negative,False
Australia,Citizenship,A Spiritual Life,6,positive,True
Australia,Citizenship,A Spiritual Life,7,negative,False
Australia,Citizenship,A Spiritual Life,7,positive,True
Australia,Citizenship,A Varied Life,0,negative,False
Australia,Citizenship,A Varied Life,0,positive,True
Australia,Citizenship,A Varied Life,1,negative,False
Australia,Citizenship,A Varied Life,1,positive,True
Australia,Citizenship,A Varied Life,2,negative,False
Australia,Citizenship,A Varied Life,2,positive,True
Australia,Citizenship,A Varied Life,3,negative,False
Australia,Citizenship,A Varied Life,3,positive,True
Australia,Citizenship,A Varied Life,4,negative,False
Australia,Citizenship,A Varied Life,4,positive,True
Australia,Citizenship,A Varied Life,5,negative,False
Australia,Citizenship,A Varied Life,5,positive,True
Australia,Citizenship,A Varied Life,6,negative,False
Australia,Citizenship,A Varied Life,6,positive,True
Australia,Citizenship,A Varied Life,7,negative,False
Australia,Citizenship,A Varied Life,7,positive,True
Australia,Citizenship,A World at Peace,0,negative,False
Australia,Citizenship,A World at Peace,0,positive,True
Australia,Citizenship,A World at Peace,1,negative,False
Australia,Citizenship,A World at Peace,1,positive,True
Australia,Citizenship,A World at Peace,2,negative,False
Australia,Citizenship,A World at Peace,2,positive,True
Australia,Citizenship,A World at Peace,3,negative,False
Australia,Citizenship,A World at Peace,3,positive,True
Australia,Citizenship,A World at Peace,4,negative,False
Australia,Citizenship,A World at Peace,4,positive,True
Australia,Citizenship,A World at Peace,5,negative,False
Australia,Citizenship,A World at Peace,5,positive,True
Australia,Citizenship,A World at Peace,6,negative,False
Australia,Citizenship,A World at Peace,6,positive,True
Australia,Citizenship,A World at Peace,7,negative,False
Australia,Citizenship,A World at Peace,7,positive,True
Australia,Citizenship,A World of Beauty,0,negative,False
Australia,Citizenship,A World of Beauty,0,positive,True
Australia,Citizenship,A World of Beauty,1,negative,False
Australia,Citizenship,A World of Beauty,1,positive,True
Australia,Citizenship,A World of Beauty,2,negative,False
Australia,Citizenship,A World of Beauty,2,positive,True
Australia,Citizenship,A World of Beauty,3,negative,False
Australia,Citizenship,A World of Beauty,3,positive,True
Australia,Citizenship,A World of Beauty,4,negative,False
Australia,Citizenship,A World of Beauty,4,positive,True
Australia,Citizenship,A World of Beauty,5,negative,False
Australia,Citizenship,A World of Beauty,5,positive,True
Australia,Citizenship,A World of Beauty,6,negative,False
Australia,Citizenship,A World of Beauty,6,positive,True
Australia,Citizenship,A World of Beauty,7,negative,False
Australia,Citizenship,A World of Beauty,7,positive,True
Australia,Citizenship,Accepting my Portion in Life,0,negative,True
Australia,Citizenship,Accepting my Portion in Life,0,positive,False
Australia,Citizenship,Accepting my Portion in Life,1,negative,True
Australia,Citizenship,Accepting my Portion in Life,1,positive,False
Australia,Citizenship,Accepting my Portion in Life,2,negative,False
Australia,Citizenship,Accepting my Portion in Life,2,positive,True
Australia,Citizenship,Accepting my Portion in Life,3,negative,False
Australia,Citizenship,Accepting my Portion in Life,3,positive,True
Australia,Citizenship,Accepting my Portion in Life,4,negative,True
Australia,Citizenship,Accepting my Portion in Life,4,positive,False
Australia,Citizenship,Accepting my Portion in Life,5,negative,True
Australia,Citizenship,Accepting my Portion in Life,5,positive,False
Australia,Citizenship,Accepting my Portion in Life,6,negative,True
Australia,Citizenship,Accepting my Portion in Life,6,positive,False
Australia,Citizenship,Accepting my Portion in Life,7,negative,True
Australia,Citizenship,Accepting my Portion in Life,7,positive,False
Australia,Citizenship,Ambitious,0,negative,False
Australia,Citizenship,Ambitious,0,positive,True
Australia,Citizenship,Ambitious,1,negative,False
Australia,Citizenship,Ambitious,1,positive,True
Australia,Citizenship,Ambitious,2,negative,False
Australia,Citizenship,Ambitious,2,positive,True
Australia,Citizenship,Ambitious,3,negative,False
Australia,Citizenship,Ambitious,3,positive,True
Australia,Citizenship,Ambitious,4,negative,False
Australia,Citizenship,Ambitious,4,positive,True
Australia,Citizenship,Ambitious,5,negative,False
Australia,Citizenship,Ambitious,5,positive,True
Australia,Citizenship,Ambitious,6,negative,False
Australia,Citizenship,Ambitious,6,positive,True
Australia,Citizenship,Ambitious,7,negative,False
Australia,Citizenship,Ambitious,7,positive,True
Australia,Citizenship,An Exciting Life,0,negative,False
Australia,Citizenship,An Exciting Life,0,positive,True
Australia,Citizenship,An Exciting Life,1,negative,False
Australia,Citizenship,An Exciting Life,1,positive,True
Australia,Citizenship,An Exciting Life,2,negative,False
Australia,Citizenship,An Exciting Life,2,positive,True
Australia,Citizenship,An Exciting Life,3,negative,False
Australia,Citizenship,An Exciting Life,3,positive,True
Australia,Citizenship,An Exciting Life,4,negative,False
Australia,Citizenship,An Exciting Life,4,positive,True
